Unnamed: 0,No.,Nama Barang,Merk,Tipe,Serial Number,Tahun,Jumlah,Cara Perolehan,Nilai Perolehan,Ruangan,Lokasi Saat Ini,Kondisi Alat,ASPAK,KIB,NON KIB dan ASPAK,KETERANGAN
,1.0,Instrumen Sterilizer,Steris,,,2010,1,HIBAH APBN 2022,1672500000.0,CSSD,,RUSAK BERAT,,TERDATA,False,
,2.0,Autoclave,,,,2026,,,,CSSD,,BAIK,,,False,
,2.0,Bed Patient,Paramount,PA12-0807F,3KOL 502100AO,2007,1,,,Fisioterapi,,,,,False,
,3.0,Elektrikal Simulator,Chattanoga,Intelect Advanced,1314,2007,1,,,Fisioterapi,,RUSAK BERAT,,,False,
,4.0,Infra red Terapy,Beurer,IL21,213323,2007,1,,,Fisioterapi,,BAIK,,,False,
,5.0,Infra red Therapy,Beurer,IL21,213221,2007,1,,,Fisioterapi,,BAIK,,,False,
,6.0,Infra Red Therapy,Beurer,IL21,213222,2007,1,,,Fisioterapi,,BAIK,,,False,
,7.0,Infrared Standing 3 Lampu,Heuser,TGS 3.1 Onhe Dimmer,233.73.0907.432,2007,1,,,Fisioterapi,,RUSAK BERAT,,,False,
,8.0,Laser Therapy,Chattanoga,Intelec Model 2779,173,2007,1,,,Fisioterapi,,RUSAK RINGAN,,,False,
,9.0,Micro Wave Diathermy,Fysiomed,Microwave 25P Tpe BF,10291,2012,1,,,Fisioterapi,,BAIK,,,False,
,10.0,Paralel Bar,,,,,1,,,Fisioterapi,,RUSAK BERAT,,,False,
,11.0,Respionic,Philips Respironic,REF CA-3200,16202,,,,,Fisioterapi,,BAIK,,,False,
,12.0,Statis Bycle,,,,,1,,,Fisioterapi,,RUSAK BERAT,,,False,
,13.0,Tens Unit,EME,Therapic 9400,EM 08070918,2018,1,,,Fisioterapi,,BAIK,,,False,
,14.0,TENS UNIT,CHATTANOGA,Intelect,T2740,2012,1,,,Fisioterapi,,RUSAK BERAT,,,False,
,15.0,Traksi Unit,,,,2007,,,,Fisioterapi,,RUSAK BERAT,,,False,
,16.0,Troly Tindakan,Mak Instrument Trolley,35101,0755-11-06,,2,,,Fisioterapi,,BAIK,,,False,
,17.0,Ultra Sound Therapy,EME,,EM07340718,2018,1,,,Fisioterapi,,BAIK,,,False,
,18.0,Ultra Sound Unit,Chattanoga,Intelect,,2007,1,,,Fisioterapi,,RUSAK BERAT,,,False,
,19.0,Hemodialisa,,,,,11,,,Hemodialisa,,,,TIDAK TERDATA,True,KSO
,20.0,Timbangan,,,,,1,,,Hemodialisa,,BAIK,,,False,
,21.0,Timbangan,,,,,1,,,Hemodialisa,,BAIK,,,False,
,22.0,Alat pengukur gula darah,Gluco Dr.,AGM-4000,2021.01EC21AA04563,2021,1,,,ICU,,BAIK,,,False,
,23.0,Alat pengukur gula darah,Gluco Dr.,AGM-4001,2021.01EC21AA02289,2021,1,,,ICU,,BAIK,,,False,
,24.0,Bed Elektrik,Paramount,-,-,2008,4,,,ICU,,BAIK,,,False,
