No,Nama Barang,Merk,Tipe,Seri Number,Tahun,Jumlah,Ruang,Keterangan
1,CSSD Steris,,,,,1,CSSD, 
2,Bed Patient,Paramount,PA12-0807F,3KOL 502100AO,2007,1,Fisioterapi,SUDAH DIKALIBRASI 
3,Elektrikal Simulator,Chattanoga,Intelect Advanced,1314,2007,1,Fisioterapi,SUDAH DIKALIBRASI 
4,Infra red Terapy,Beurer,IL21,213323,2007,1,Fisioterapi,SUDAH DIKALIBRASI 
5,Infra red Therapy,Beurer,IL21,213221,2007,1,Fisioterapi,SUDAH DIKALIBRASI 
6,Infra Red Therapy,Beurer,IL21,213222,2007,1,Fisioterapi,SUDAH DIKALIBRASI 
7,Infrared Standing 3 Lampu ,Heuser,TGS 3.1 Onhe Dimmer,233.73.0907.432,2007,1,Fisioterapi,SUDAH DIKALIBRASI 
8,Laser Therapy,Chattanoga,Intelec Model 2779,173,2007,1,Fisioterapi,SUDAH DIKALIBRASI 
9,Micro Wave Diathermy,Fysiomed,Microwave 25P Tpe BF,10291,2012,1,Fisioterapi,SUDAH DIKALIBRASI 
10,Paralel Bar,,,,,1,Fisioterapi,SUDAH DIKALIBRASI 
11,Respionic,Philips Respironic,REF CA-3200,16202,,,Fisioterapi,SUDAH DIKALIBRASI 
12,Statis Bycle,,,,,1,Fisioterapi,SUDAH DIKALIBRASI 
13,Tens Unit,EME,Therapic 9400,EM 08070918,2018,1,Fisioterapi,SUDAH DIKALIBRASI 
14,TENS UNIT,CHATTANOGA,Intelect,T2740,2012,1,Fisioterapi,SUDAH DIKALIBRASI 
15,Traksi Unit,,,,2007,,Fisioterapi,SUDAH DIKALIBRASI 
16,Troly Tindakan,Mak Instrument Trolley,35101,0755-11-06,,2,Fisioterapi,SUDAH DIKALIBRASI 
17,Ultra Sound Therapy,EME,,EM07340718,2018,1,Fisioterapi,SUDAH DIKALIBRASI 
18,Ultra Sound Unit,Chattanoga,Intelect,,2007,1,Fisioterapi,SUDAH DIKALIBRASI 
19,Hemodialisa,,,,,11,Hemodialisa,
20,Timbangan,,,,,1,Hemodialisa,
21,Timbangan,,,,,1,Hemodialisa,
22,Alat pengukur gula darah  ,Gluco Dr.,AGM-4000,2021.01EC21AA04563,2021,1,ICU,TIDAK DIKALIBRASI
23,Alat pengukur gula darah  ,Gluco Dr.,AGM-4001,2021.01EC21AA02289,2021,1,ICU,TIDAK DIKALIBRASI
24,Bed Elektrik,Paramount,-,-,2008,4,ICU,TIDAK DIKALIBRASI
25,Defibrilation   ,Bexen,,20026170,2016,1,ICU,Baik
26,EKG,Innomed Heartscreen,-,20239288,,1,ICU,Rusak
27,EKG,Innomed Heartscreen,,22239242,,1,ICU,Baik
28,Examination Lamp,Famed,,,,1,ICU,TIDAK DI KALIBRASI
29,Film View,KArixa,-,-,,1,ICU,TIDAK DI KALIBRASI
30,Gelas ukur urin,,,,,1,ICU,TIDAK DI KALIBRASI
31,HFNC (High Flow Nasal Canul),Aervo2,-,-,,2,ICU,"1 BAIK, 1 RUSAK"
32,Infus Pump,Mindray,-,SK 10308902,2021,1,ICU,SUDAH DIKALIBRASI 
33,Infus Pump,Mindray,,SK 10308929,2021,1,ICU,Baik
34,Infus Pump,Mindray,-,SK 10308913,2021,1,ICU,SUDAH DIKALIBRASI 
35,Infus Pump,B-Braun,,8713070,,1,ICU,Rusak
36,Laringoskop  set adult,Karl storz,,,,1,ICU,TIDAK DIKALIBRASI
37,Laringoskop  set adult,Hofbauer,,,,1,ICU,TIDAK DIKALIBRASI
38,Monitor Lengkap,Philips,-,DE 67IR3743,2020,1,ICU,SUDAH DIKALIBRASI 
39,Monitor Lengkap,Philips,,DE 67IR3819,2020,1,ICU,Baik
40,Monitor Lengkap,Dixion,-,D5/09/2205/5193,2022,1,ICU,SUDAH DIKALIBRASI 
41,Monitor Lengkap,Dixion,,05/092211/5318,2022,1,ICU,HIBAH HD
42,O2 portable,Krober O2,,,,1,ICU,Baik
43,Oxymetri Portable,Oxy9wave,,,,2,ICU,DIPINJAM PERINA
44,Regulator O2,Mak,-,-,,3,ICU,SUDAH DIKALIBRASI 
45,Regulator oksigen central / Resmed,- RMS,-,-,,,ICU,SUDAH DIKALIBRASI 
46,Regulator oksigen ventilator,- RMS,,,,,ICU,Baik
47,Stetoskop Anak,,,,2017,1,ICU,TIDAK DIKALIBRASI
48,Stetoskop dewasa,GEA,-,-,2017,1,ICU,TIDAK DIKALIBRASI
49,Stetoskop dewasa,-,-,-,2017,2,ICU,TIDAK DIKALIBRASI
50,Suction pump,Industries Med LTD,AC 500,9056236,,1,ICU,BAIK
51,Suction pump,Electric Suction Apparatus,SN703A-D,SANMO94-23-010,2023,1,ICU,BAIK
52,Suction pump,Electric Suction Apparatus,SN703A-D,SANMO94-23-017,2023,1,ICU,BAIK
53,Syringe pump,Mindray,-,SK 10307825,,1,ICU,BAIK
54,Syringe pump,Mindray,-,SK10307823,,1,ICU,RUSAK
55,Syringe pump,Frenesius Kabi,,018094/23196959,,1,ICU,SUDAH DIKALIBRASI 
56,Syringe pump,Frenesius Kabi,,018094/23227676,,1,ICU,Baik
57,Syringe pump,Frenesius Kabi,-,018094/23227675,,1,ICU,Baik
58,Syringe pump,Rchestra,,082594/21452196,,1,ICU,SUDAH DIKALIBRASI 
59,Tensimeter Dewasa,Regal,ABN,,2020,1,ICU,RUSAK
60,Termometer Digital,HuBDIC,FS-300,-,,1,ICU,TIDAK DI KALIBRASI
61,Termometer Digital,Omron,MC-246,-,,1,ICU,TIDAK DI KALIBRASI
62,THT set,,,,,1,ICU,TIDAK DI KALIBRASI
63,Timbangan pempers,,,,,1,ICU,TIDAK DI KALIBRASI
64,USG,Mindray,-,MR-2B004895,,1,ICU,SUDAH DIKALIBRASI 
65,UV Room sterilizer,Medivent,-,-,,1,ICU,TIDAK DI KALIBRASI
66,Ventilator,Bellavista,-,MB230883,2020,1,ICU,RUSAK
67,Ventilator,Bellavista,,MB231220,2020,1,ICU,RUSAK
68,Ventilator,MonalT75,-,MT75-07648,2018,1,ICU,RUSAK
69,Ventilator,Hamilton C2,,160150,,1,ICU,RUSAK
70,Ventilator,Siaretron 4000,,,2024,,ICU,Baik
71,Ventilator mobile,RESMED,-,-,2020,2,ICU,Baik
