No,Nama Barang,Merk,Tipe,Seri Number,Tahun,Ruang Pemilik,Lokasi Fisik saat Ini,Kondisi,Status Kalibrasi,Tanggal Kalibrasi Terakhir,Keterangan
1,CSSD Steris,,,,,CSSD,CSSD,Baik,BELUM DIKALIBRASI,Belum ada data,
2,Bed Patient,Paramount,PA12-0807F,3KOL 502100AO,2007,Fisioterapi,Fisioterapi,Baik,SUDAH DIKALIBRASI,Belum ada data,
3,Elektrikal Simulator,Chattanoga,Intelect Advanced,1314,2007,Fisioterapi,Fisioterapi,Baik,SUDAH DIKALIBRASI,Belum ada data,
4,Infra red Terapy,Beurer,IL21,213323,2007,Fisioterapi,Fisioterapi,Baik,SUDAH DIKALIBRASI,Belum ada data,
5,Infra red Therapy,Beurer,IL21,213221,2007,Fisioterapi,Fisioterapi,Baik,SUDAH DIKALIBRASI,Belum ada data,
6,Infra Red Therapy,Beurer,IL21,213222,2007,Fisioterapi,Fisioterapi,Baik,SUDAH DIKALIBRASI,Belum ada data,
7,Infrared Standing 3 Lampu,Heuser,TGS 3.1 Onhe Dimmer,233.73.0907.432,2007,Fisioterapi,Fisioterapi,Baik,SUDAH DIKALIBRASI,Belum ada data,
8,Laser Therapy,Chattanoga,Intelec Model 2779,173,2007,Fisioterapi,Fisioterapi,Baik,SUDAH DIKALIBRASI,Belum ada data,
9,Micro Wave Diathermy,Fysiomed,Microwave 25P Tpe BF,10291,2012,Fisioterapi,Fisioterapi,Baik,SUDAH DIKALIBRASI,Belum ada data,
10,Paralel Bar,,,,,Fisioterapi,Fisioterapi,Baik,SUDAH DIKALIBRASI,Belum ada data,
11,Respionic,Philips Respironic,REF CA-3200,16202,,Fisioterapi,Fisioterapi,Baik,SUDAH DIKALIBRASI,Belum ada data,
12,Statis Bycle,,,,,Fisioterapi,Fisioterapi,Baik,SUDAH DIKALIBRASI,Belum ada data,
13,Tens Unit,EME,Therapic 9400,EM 08070918,2018,Fisioterapi,Fisioterapi,Baik,SUDAH DIKALIBRASI,Belum ada data,
14,TENS UNIT,CHATTANOGA,Intelect,T2740,2012,Fisioterapi,Fisioterapi,Baik,SUDAH DIKALIBRASI,Belum ada data,
15,Traksi Unit,,,,2007,Fisioterapi,Fisioterapi,Baik,SUDAH DIKALIBRASI,Belum ada data,
16,Troly Tindakan,Mak Instrument Trolley,35101,0755-11-06-1,,Fisioterapi,Fisioterapi,Baik,SUDAH DIKALIBRASI,Belum ada data,
17,Troly Tindakan,Mak Instrument Trolley,35101,0755-11-06-2,,Fisioterapi,Fisioterapi,Baik,SUDAH DIKALIBRASI,Belum ada data,
18,Ultra Sound Therapy,EME,,EM07340718,2018,Fisioterapi,Fisioterapi,Baik,SUDAH DIKALIBRASI,Belum ada data,
19,Ultra Sound Unit,Chattanoga,Intelect,,2007,Fisioterapi,Fisioterapi,Baik,SUDAH DIKALIBRASI,Belum ada data,
20,Hemodialisa,,,,,Hemodialisa,Hemodialisa,Baik,BELUM DIKALIBRASI,Belum ada data,
21,Hemodialisa,,,,,Hemodialisa,Hemodialisa,Baik,BELUM DIKALIBRASI,Belum ada data,
22,Hemodialisa,,,,,Hemodialisa,Hemodialisa,Baik,BELUM DIKALIBRASI,Belum ada data,
23,Hemodialisa,,,,,Hemodialisa,Hemodialisa,Baik,BELUM DIKALIBRASI,Belum ada data,
24,Hemodialisa,,,,,Hemodialisa,Hemodialisa,Baik,BELUM DIKALIBRASI,Belum ada data,
25,Hemodialisa,,,,,Hemodialisa,Hemodialisa,Baik,BELUM DIKALIBRASI,Belum ada data,
26,Hemodialisa,,,,,Hemodialisa,Hemodialisa,Baik,BELUM DIKALIBRASI,Belum ada data,
27,Hemodialisa,,,,,Hemodialisa,Hemodialisa,Baik,BELUM DIKALIBRASI,Belum ada data,
28,Hemodialisa,,,,,Hemodialisa,Hemodialisa,Baik,BELUM DIKALIBRASI,Belum ada data,
29,Hemodialisa,,,,,Hemodialisa,Hemodialisa,Baik,BELUM DIKALIBRASI,Belum ada data,
30,Hemodialisa,,,,,Hemodialisa,Hemodialisa,Baik,BELUM DIKALIBRASI,Belum ada data,
31,Timbangan,,,,,Hemodialisa,Hemodialisa,Baik,BELUM DIKALIBRASI,Belum ada data,
32,Timbangan,,,,,Hemodialisa,Hemodialisa,Baik,BELUM DIKALIBRASI,Belum ada data,
33,Alat pengukur gula darah,Gluco Dr.,AGM-4000,2021.01EC21AA04563,2021,ICU,ICU,Baik,BELUM DIKALIBRASI,Belum ada data,
34,Alat pengukur gula darah,Gluco Dr.,AGM-4001,2021.01EC21AA02289,2021,ICU,ICU,Baik,BELUM DIKALIBRASI,Belum ada data,
35,Bed Elektrik,Paramount,-,-,2008,ICU,ICU,Baik,BELUM DIKALIBRASI,Belum ada data,
36,Bed Elektrik,Paramount,-,-,2008,ICU,ICU,Baik,BELUM DIKALIBRASI,Belum ada data,
37,Bed Elektrik,Paramount,-,-,2008,ICU,ICU,Baik,BELUM DIKALIBRASI,Belum ada data,
38,Bed Elektrik,Paramount,-,-,2008,ICU,ICU,Baik,BELUM DIKALIBRASI,Belum ada data,
39,Defibrilation,Bexen,,20026170,2016,ICU,ICU,Baik,BELUM DIKALIBRASI,Belum ada data,
40,EKG,Innomed Heartscreen,-,20239288,,ICU,ICU,Rusak Berat,BELUM DIKALIBRASI,Belum ada data,
41,EKG,Innomed Heartscreen,,22239242,,ICU,ICU,Baik,BELUM DIKALIBRASI,Belum ada data,
